seed,test_window_index,scale,router_weight
42,191,4,0.6169989705085753
42,192,1,0.2361682504415512
42,192,2,0.16296832263469696
42,192,4,0.6008634567260742
42,193,1,0.23747478425502777
42,193,2,0.16358613967895508
42,193,4,0.5989390015602112
42,194,1,0.25073227286338806
42,194,2,0.16906900703907013
42,194,4,0.5801987648010254
42,195,1,0.2438587248325348
42,195,2,0.16631317138671875
42,195,4,0.5898281335830688
42,196,1,0.25229835510253906
42,196,2,0.16976915299892423
42,196,4,0.5779324769973755
42,197,1,0.24598415195941925
42,197,2,0.16729190945625305
42,197,4,0.5867239236831665
42,198,1,0.24973243474960327
42,198,2,0.16886501014232635
42,198,4,0.581402599811554
42,199,1,0.25765591859817505
42,199,2,0.17207178473472595
42,199,4,0.5702722668647766
42,200,1,0.2561732232570648
42,200,2,0.1715455651283264
42,200,4,0.5722811818122864
42,201,1,0.26185646653175354
42,201,2,0.17386257648468015
42,201,4,0.5642809271812439
42,202,1,0.2579309046268463
42,202,2,0.17247620224952695
42,202,4,0.5695928931236267
42,203,1,0.256252646446228
42,203,2,0.17201831936836243
42,203,4,0.5717290639877319
42,204,1,0.23894256353378293
42,204,2,0.16515052318572998
42,204,4,0.5959068536758423
42,205,1,0.2425292730331421
42,205,2,0.16685637831687927
42,205,4,0.5906143188476562
42,206,1,0.2397926449775696
42,206,2,0.1658581644296646
42,206,4,0.5943491458892822
42,207,1,0.24222731590271
42,207,2,0.16708698868751523
42,207,4,0.5906857252120972
42,208,1,0.2347024530172348
42,208,2,0.16402184963226318
42,208,4,0.6012757420539856
42,209,1,0.23038475215435028
42,209,2,0.1623001843690872
42,209,4,0.6073150038719177
42,210,1,0.22492314875125885
42,210,2,0.16000674664974213
42,210,4,0.615070104598999
42,211,1,0.22649598121643064
42,211,2,0.1608055830001831
42,211,4,0.6126983761787416
42,212,1,0.2314837276935577
42,212,2,0.16309033334255219
42,212,4,0.6054259538650513
42,213,1,0.23872517049312592
42,213,2,0.1662997156381607
42,213,4,0.5949751138687134
42,214,1,0.22418446838855743
42,214,2,0.15993021428585052
42,214,4,0.615885317325592
42,215,1,0.22554299235343933
42,215,2,0.160544753074646
42,215,4,0.6139122843742371
42,216,1,0.2215499132871628
42,216,2,0.1588849127292633
42,216,4,0.6195651888847351
42,217,1,0.22056181728839877
42,217,2,0.1583002805709839
42,217,4,0.6211378574371338
42,218,1,0.2249111235141754
42,218,2,0.16028238832950592
42,218,4,0.6148064732551575
42,219,1,0.22933734953403473
42,219,2,0.16227461397647855
42,219,4,0.6083880662918091
42,220,1,0.2353631407022476
42,220,2,0.1649351418018341
42,220,4,0.5997017025947571
42,221,1,0.23320637643337247
42,221,2,0.163997083902359
42,221,4,0.6027965545654297
42,222,1,0.2364403605461121
42,222,2,0.16539134085178375
42,222,4,0.5981683135032654
42,223,1,0.24575828015804288
42,223,2,0.169347882270813
42,223,4,0.5848938822746277
42,224,1,0.23706622421741483
42,224,2,0.16556328535079956
42,224,4,0.597370445728302
42,225,1,0.215747132897377
42,225,2,0.15523548424243927
42,225,4,0.6290174126625061
42,226,1,0.21083520352840424
42,226,2,0.1520894169807434
42,226,4,0.6370753645896912
42,227,1,0.19874645769596097
42,227,2,0.1443355679512024
42,227,4,0.6569179892539978
42,228,1,0.194705069065094
42,228,2,0.14145778119564056
42,228,4,0.6638371944427489
42,229,1,0.19129702448844907
42,229,2,0.13870567083358765
42,229,4,0.6699972748756409
42,230,1,0.192931205034256
42,230,2,0.13999491930007935
42,230,4,0.6670739054679872
42,231,1,0.1894458532333374
42,231,2,0.1371745765209198
42,231,4,0.6733795404434204
42,232,1,0.18882951140403748
42,232,2,0.13665667176246643
42,232,4,0.6745138168334961
42,233,1,0.19044405221939087
42,233,2,0.13792987167835236
42,233,4,0.6716260313987732
42,234,1,0.19148513674736023
42,234,2,0.13873888552188873
42,234,4,0.6697759628295897
42,235,1,0.19761990010738367
42,235,2,0.14339298009872437
42,235,4,0.6589871048927307
42,236,1,0.19986025989055636
42,236,2,0.14480440318584442
42,236,4,0.6553353071212769
42,237,1,0.20976103842258453
42,237,2,0.1510876566171646
42,237,4,0.6391512751579285
42,238,1,0.2131676524877548
42,238,2,0.15320657193660736
42,238,4,0.633625864982605
42,239,1,0.2108425050973892
42,239,2,0.15169538557529447
42,239,4,0.6374620795249938
42,240,1,0.21489723026752472
42,240,2,0.15425358712673187
42,240,4,0.6308492422103882
42,241,1,0.22239017486572263
42,241,2,0.15880867838859558
42,241,4,0.6188011765480042
42,242,1,0.23411403596401212
42,242,2,0.1640997976064682
42,242,4,0.601786196231842
42,243,1,0.2340969890356064
42,243,2,0.1640862077474594
42,243,4,0.6018168330192566
42,244,1,0.2221240401268005
42,244,2,0.15854404866695404
42,244,4,0.6193318963050841
42,245,1,0.2296064645051956
42,245,2,0.16202609241008759
42,245,4,0.6083674430847168
42,246,1,0.24801230430603027
