dataset,seed,test_window_index,alpha_1,alpha_2,alpha_4
geant,42,132,0.14669275283813477,0.277606725692749,0.575700581073761
geant,42,133,0.14330342411994934,0.28521183133125305,0.5714848041534424
geant,42,134,0.15068382024765015,0.26729100942611694,0.5820251703262329
geant,42,135,0.14816676080226898,0.27288636565208435,0.578946888446808
geant,42,136,0.14613397419452667,0.2774830460548401,0.5763829946517944
geant,42,137,0.13775083422660828,0.2974595129489898,0.5647896528244019
geant,42,138,0.12723959982395172,0.3242780566215515,0.5484822988510132
geant,42,139,0.11772101372480392,0.35037118196487427,0.5319077968597412
geant,42,140,0.10819325596094131,0.3783375024795532,0.5134692192077637
geant,42,141,0.1038164272904396,0.3914843201637268,0.5046992897987366
geant,42,142,0.104230098426342,0.38944837450981135,0.5063215494155884
geant,42,143,0.10273586958646774,0.3928890824317932,0.5043750405311584
geant,42,144,0.10575415939092636,0.38213902711868286,0.5121067762374878
geant,42,145,0.1097964495420456,0.368645578622818,0.5215579867362976
geant,42,146,0.11059710383415222,0.3654595017433167,0.5239434242248535
geant,42,147,0.11403033137321472,0.35441115498542786,0.5315585136413574
geant,42,148,0.11761027574539185,0.34319230914115906,0.5391974449157715
geant,42,149,0.12025173008441924,0.3350792229175568,0.5446690320968628
